"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2017-1-15/08/2019","01",1,"SA","Motor Cars - Sedan","2013","North East","Female","034","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5043",,
"2017-1-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2017-2-15/08/2019","01",0,"SA","Motor Cars - Sedan","2013","North","Male","087","SA","C ","Full","Not Towing","Swerving","002","5159",,
"2017-2-15/08/2019","02",0,"SA","Motor Cars - Sedan","2014","North","Male","030","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","004","5041",,
"2017-3-15/08/2019","01",0,"SA","Motor Cars - Sedan","2012","East","Male","041","SA","C ","Full","Not Towing","Straight Ahead","001","5235",,
"2017-3-15/08/2019","02",0,"SA","OMNIBUS","2001","East","Male","062","SA","HR","Full","Not Towing","Straight Ahead","001","5251",,
"2017-4-15/08/2019","01",0,"SA","Utility","2003","North","Male","048","SA","C ","Full","Not Towing","Straight Ahead","001","5010",,
"2017-4-15/08/2019","02",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2017-5-15/08/2019","01",0,"SA","Station Wagon","2011","North","Female","051","SA","C ","Full","Not Towing","Right Turn","002","5062",,
"2017-5-15/08/2019","02",1,"SA","Motor Cars - Sedan","2001","South","Female","041","SA","C ","Full","Not Towing","Straight Ahead","001","5051",,
"2017-6-15/08/2019","01",0,"SA","Station Wagon","1998","South West","Female","028","SA","C ","Full","Not Towing","Straight Ahead","001","5118",,
"2017-6-15/08/2019","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2017-6-15/08/2019","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-7-15/08/2019","01",0,"SA","Motor Cars - Sedan","2004","North East","Female","023","SA","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2017-7-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2017-8-15/08/2019","01",0,"SA","Utility","2005","North East",,,,"C ",,"Not Towing","Parked","000",,,
"2017-8-15/08/2019","02",0,"SA","Motor Cars - Sedan","2009","North East","Male","020","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5114",,
"2017-9-15/08/2019","01",1,"SA","Motor Cars - Sedan","2016","North East","Male","XXX","UNKNOWN","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2017-9-15/08/2019","02",0,"SA","Station Wagon","2002","North","Male","022","UNKNOWN","C ","Full","Not Towing","Leaving Private Driveway","001","5070",,
"2017-10-15/08/2019","01",1,"SA","Motor Cars - Sedan","2001","West","Male","019","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5017",,
"2017-10-15/08/2019","02",6,"SA","Motor Cars - Sedan","2015","East","Male","048","SA","C ","Full","Not Towing","Straight Ahead","006","5017",,
"2017-11-15/08/2019","01",0,"VIC","Motor Cars - Sedan","XXXX","South East","Male","045","UNKNOWN","C ","Full","Not Towing","Stopped on Carriageway","004","XXXX",,
"2017-11-15/08/2019","02",1,"SA","Motor Cars - Sedan","1991","South East","Male","030","SA","C ","Full","Not Towing","Straight Ahead","002","5280",,
"2017-12-15/08/2019","01",0,"VIC","Station Wagon","2016","East",,,,,,"Not Towing","Parked","000",,,
"2017-12-15/08/2019","02",1,,"Pedal Cycle",,"East","Female","023",,,,,"Straight Ahead","001","5085",,
"2017-13-15/08/2019","01",0,"SA","Station Wagon","1999","South","Male","069","SA","C ","Full","Not Towing","Straight Ahead","001","XXXX",,
"2017-13-15/08/2019","02",0,,"Pedestrian on Road",,"East","Unknown","XXX",,,,,"Crossing without Control",,"XXXX",,
"2017-14-15/08/2019","01",0,"SA","Motor Cars - Sedan","2008","North East","Male","019","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","5125",,
"2017-14-15/08/2019","02",0,"SA","Motor Cars - Sedan","2014","North East","Male","061","UNKNOWN","XX","Unknown","Not Towing","Leaving Private Driveway","001","5090",,
"2017-15-15/08/2019","01",1,"SA","Motor Cycle","2003","North","Male","050","SA","C R ","Full","Not Towing","Straight Ahead","001","5162","Y",
"2017-15-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-16-15/08/2019","01",1,"SA","Motor Cars - Sedan","2004","South","Male","042","SA","C ","Full","Not Towing","Straight Ahead","002","5108",,
"2017-16-15/08/2019","02",0,"SA","Motor Cars - Sedan","2016","North East","Male","023","SA","C ","Full","Not Towing","Right Turn","001","5089",,
"2017-17-15/08/2019","01",0,"SA","Motor Cars - Sedan","2003","East","Male","029","SA","C ","Full","Not Towing","Straight Ahead","001","5232",,
"2017-17-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-18-15/08/2019","01",0,"SA","Motor Cars - Sedan","2005","North East","Male","031","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","001","5023",,
"2017-18-15/08/2019","02",0,,"Sign Post",,,,,,,,,,,,,
"2017-18-15/08/2019","03",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-19-15/08/2019","01",1,"SA","Motor Cycle","2011","South West","Male","017","SA","C RD","Learners","Not Towing","Straight Ahead","001","5110",,
"2017-19-15/08/2019","02",0,,"Guard Rail",,,,,,,,,,,,,
"2017-20-15/08/2019","01",0,"SA","Station Wagon","2013","East","Male","035","SA","C ","Full","Not Towing","Left Turn","001","5074",,
"2017-20-15/08/2019","02",0,,"Traffic Signal Pole",,,,,,,,,,,,,
"2017-21-15/08/2019","01",1,"SA","Motor Cars - Sedan","1993","South East","Female","023","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5502","Y",
"2017-21-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-22-15/08/2019","01",0,"SA","Motor Cars - Sedan","2008","South West","Male","033","SA","C ","Full","Not Towing","Right Turn","001","5164",,
"2017-22-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-22-15/08/2019","03",0,,"Tree",,,,,,,,,,,,,
"2017-23-15/08/2019","01",0,"SA","Motor Cars - Sedan","1985","North East","Male","023","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5114",,
"2017-23-15/08/2019","02",0,,"Pole - not Stobie",,,,,,,,,,,,,
"2017-24-15/08/2019","01",1,"SA","Motor Cars - Sedan","1990","North West","Female","033","SA","C ","Unlicenced","Not Towing","Straight Ahead","002","5260","Y",
"2017-25-15/08/2019","01",0,"SA","Motor Cycle","2014","West","Male","047","SA","MRR ","Full","Not Towing","Straight Ahead","001","5022",,
"2017-25-15/08/2019","02",0,"SA","Motor Cycle","2014","West","Unknown","XXX","SA","C R ","Full","Not Towing","Straight Ahead","001","5022",,
"2017-26-15/08/2019","01",1,"SA","Utility","2015","South West","Male","046","SA","C ","Full","Not Towing","Straight Ahead","003","5085",,
"2017-26-15/08/2019","02",0,"SA","Motor Cars - Sedan","2004","South West","Male","XXX","SA","C ","Full","Not Towing","Straight Ahead","001","5725",,
"2017-27-15/08/2019","01",0,"VIC","Motor Cars - Sedan","2005","West","Male","019","UNKNOWN","C ","Probationary","Not Towing","Straight Ahead","001","XXXX",,
"2017-27-15/08/2019","02",0,,"Wire Rope Barrier",,,,,,,,,,,,,
"2017-28-15/08/2019","01",0,"SA","Motor Cars - Sedan","2015","North","Male","062","SA","C ","Full","Not Towing","Left Turn","001","5031",,
"2017-28-15/08/2019","02",0,,"Pedal Cycle",,"South East","Unknown","XXX",,,,,"Straight Ahead","001","XXXX",,
"2017-29-15/08/2019","01",0,"WA","BDOUBLE - ROAD TRAIN","2014","East","Male","045","UNKNOWN","XX","Unknown",,"Straight Ahead","001","XXXX",,
"2017-29-15/08/2019","02",0,"SA","Motor Cars - Sedan","1995","East","Male","039","UNKNOWN","XX","Unknown","Not Towing","Stopped on Carriageway","001","5086",,
"2017-30-15/08/2019","01",0,"SA","Station Wagon","2015","East","Female","067","SA","C ","Full","Not Towing","U Turn","001","5092",,
"2017-30-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-31-15/08/2019","01",0,"SA","Motor Cars - Sedan","2002","North East","Male","026","SA","C ","Full","Not Towing","U Turn","001","5144",,
"2017-31-15/08/2019","02",0,"UNKNOWN","Motor Cycle","XXXX","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2017-32-15/08/2019","01",0,"QLD","Station Wagon","2013","North East","Male","059","UNKNOWN","C ","Full","Not Towing","Swerving","002","4303",,
"2017-32-15/08/2019","02",1,"SA","Motor Cycle","2001","North East","Male","048","SA","C R ","Full","Not Towing","Straight Ahead","001","5013",,
"2017-33-15/08/2019","01",1,,"Pedal Cycle",,"North","Female","045",,,,,"Straight Ahead","001","5252",,
"2017-33-15/08/2019","02",0,,"Pedal Cycle",,"North","Male","049",,,,,"Straight Ahead","001","5252",,
"2017-34-15/08/2019","01",0,"SA","Station Wagon","2005","West","Male","028","UNKNOWN","C ","Full","Not Towing","Right Turn","001","5043",,
"2017-34-15/08/2019","02",0,"SA","Station Wagon","2003","South","Male","036","SA","C ","Full","Not Towing","Straight Ahead","001","5034",,
"2017-35-15/08/2019","01",0,"SA","Motor Cars - Sedan","2006","North West","Female","054","SA","C ","Full","Not Towing","Straight Ahead","001","5108",,
"2017-35-15/08/2019","02",1,"SA","Motor Cycle","2012","South West","Male","052","SA","MRR ","Full","Not Towing","Straight Ahead","001","5114",,
"2017-36-15/08/2019","01",0,"SA","Motor Cars - Sedan","2000","West","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Straight Ahead","002","XXXX",,
"2017-36-15/08/2019","02",0,"SA","Motor Cars - Sedan","1995","South East",,,,,,"Unknown","Parked","000",,,
